Element,group,period,atomic number,radius,electronegativity,ionization,affinity,volume,weight,melting,boiling,density,Zeff,polarizability,resistivity,fusion,vaporization,atomization,capacity,valence,d-electron
Sc,3,4,1,1.44,1.36,6.54,0.188,15.04,44.95591,1541,2830,2.989,2.77,17.8,56.2,14.1,314.2,343,0.568,1,1
Ti,4,4,2,1.32,1.54,6.82,0.084,10.64,47.88,1668,3287,4.5,2.83,14.6,39,15.481,429,468.61,0.523,2,2
V,5,4,3,1.22,1.63,6.74,0.527,8.55,50.9415,1910,3407,5.96,2.82,12.4,20.1,17.573,458.6,514.63,0.489,3,3
Cr,6,4,4,1.18,1.66,6.766,0.675,7.78,51.9961,1907,2671,7.2,2.82,11.6,12.6,15.31,348.8,397.48,0.449,6,5
Mn,7,4,5,1.17,1.55,7.435,-0.52,7.35,54.93805,1246,2061,7.47,2.96,9.4,144,14.644,219.7,280.33,0.479,5,5
Fe,8,4,6,1.17,1.83,7.87,0.153,7.11,55.847,1538,2861,7.86,3.04,8.4,9.87,14.9,351.04,414.2,0.449,6,6
Co,9,4,7,1.16,1.88,7.86,0.662,6.61,58.9332,1495,2927,8.92,3.04,7.5,5.6,15.23,382.4,426.77,0.421,7,7
Ni,10,4,8,1.15,1.91,7.635,1.157,6.59,58.6934,1455,2913,8.9,3,6.8,7.12,17.57,371.8,422.58,0.444,8,8
Cu,11,4,9,1.17,1.9,7.726,1.235,7.11,63.546,1084.62,2562,8.94,3.02,6.1,1.712,13.012,304.6,338.9,0.385,1,10
Zn,12,4,10,1.25,1.65,9.394,-0.62,9.16,65.39,419.53,907,7.14,3.32,7.1,6.01,7.32,115.5,129.7,0.388,0,10
Y,3,5,11,1.62,1.22,6.38,0.307,19.89,88.90585,1526,3336,4.469,3.42,22.7,59.6,17.15,393,418,0.298,1,1
Zr,4,5,12,1.45,1.33,6.84,0.433,14.06,91.224,1855,4409,6.49,3.55,17.9,42.9,20.9,581.6,598,0.278,2,2
Nb,5,5,13,1.34,1.6,6.9,0.917,10.84,92.90638,2477,4744,8.57,3.56,15.7,15.2,27.2,696.6,745,0.265,5,4
Mo,6,5,14,1.3,2.16,7.099,0.747,9.41,65.94,2623,4639,10.2,3.61,12.8,5.47,27.61,594.1,653,0.251,6,5
Tc,7,5,15,1.27,1.9,7.28,0.55,8.51,97.9072,2157,4265,11.5,3.66,11.4,14.9,23.01,660,649,0.21,5,5
Ru,8,5,16,1.25,2.2,7.37,1.046,8.22,101.07,2334,4150,12.3,3.68,9.6,7.1,25.5,567.77,603,0.238,8,7
Rh,9,5,17,1.25,2.28,7.46,1.142,8.3,102.9055,1964,3695,12.4,3.7,8.6,4.3,21.76,495.39,556.5,0.243,0,8
Pd,10,5,18,1.28,2.2,8.34,0.562,8.85,106.42,1554.9,2963,12.02,3.13,4.8,10.73,16.74,376.6,393.3,0.244,0,10
Ag,11,5,19,1.34,1.93,7.576,1.3047,10.27,107.8682,961.78,2162,10.5,3.73,7.2,1.617,11.3,255.1,284.5,0.235,1,10
Cd,12,5,20,1.48,1.69,8.993,-0.725,13.01,112.411,321.07,767,8.642,4.07,7.2,6.8,6.19,100,113,0.232,0,10
Lu,3,6,21,1.56,1.27,5.42589,0.346,17.78,174.967,1663,3393,9.84,3.79,21.9,58.2,18.7,355.9,398,0.154,1,1
Hf,4,6,22,1.44,1.3,7,0.017,13.41,178.49,2233,4603,13.31,4.3,16.2,33.7,25.1,703,703,0.144,2,2
Ta,5,6,23,1.34,1.5,7.89,0.323,10.9,180.9479,3017,5458,16.6,4.57,13.1,13.4,31.4,782,782,0.14,3,3
W,6,6,24,1.3,2.36,7.98,0.816,9.5,183.84,3422,5555,19.35,4.6,11.1,5.39,35.23,837,837,0.132,4,4
Re,7,6,25,1.28,1.9,7.88,0.06,9.07,186.207,3186,5596,20.5,4.57,9.7,17.2,33.05,791,791,0.137,5,5
Os,8,6,26,1.26,2.2,8.7,1.1,8.41,190.23,3033,5012,22.61,4.8,8.5,8.1,29.3,669,669,0.13,6,6
Ir,9,6,27,1.27,2.2,9.1,1.564,8.49,192.22,2446,4428,22.65,4.91,7.6,4.7,26.4,628,628,0.131,7,7
Pt,10,6,28,1.3,2.28,9,2.125,9.09,195.08,1768.4,3825,21.45,4.88,6.5,10.7,19.7,510.5,565,0.133,10,9
Au,11,6,29,1.34,2.54,9.225,2.308,10.2,196.96654,1064.18,2856,19.31,4.94,5.8,2.255,12.55,324.4,364,0.129,10,10
Hg,12,6,30,1.49,2,10.437,-0.52,14.81,200.59,-38.83,356.73,13.546,5.26,5.7,94.1,2.29,56.9,31.5,0.14,0,10
N,2,3,31,0.75,3.04,14.534,0,17.3,14.00674,-210,-274,1.25,2.07,1.1,1000,0.3605,2.79,472.79,1.04,3,0
H,1,2,32,0.32,2.2,13.598,0.754,14.1,1.00794,-259.34,-252.87,0.0899,1,0.6668,1000,0.0586,0.449,217.57,14.304,1,0
